gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ni,sale,costat
023977,2023-12-31,2023,INDL,C,D,STD,APLE,APPLE HOSPITALITY REIT INC,USD,4937.2980,177.4890,1343.8000,A
023978,2023-12-31,2023,INDL,C,D,STD,X,UNITED STATES STEEL CORP,USD,20451.0000,895.0000,18053.0000,A
023990,2023-12-31,2023,INDL,C,D,STD,GKOS,GLAUKOS CORP,USD,940.4140,-134.6610,314.7110,A
023996,2023-12-31,2023,INDL,C,D,STD,GNL,GLOBAL NET LEASE INC,USD,8098.9770,-211.9100,515.0700,A
024021,2023-03-31,2022,INDL,C,D,STD,HAE,HAEMONETICS CORP,USD,1934.8250,115.4010,1168.6600,A
024040,2023-12-31,2023,INDL,C,D,STD,IONS,IONIS PHARMACEUTICALS INC,USD,2990.0720,-366.2860,787.6470,A
024071,2023-12-31,2023,INDL,C,D,STD,APPF,APPFOLIO INC,USD,408.8890,2.7020,620.4450,A
024076,2023-01-31,2022,INDL,C,D,STD,OLLI,OLLIE'S BARGAIN OUTLET HLDGS,USD,2044.0960,102.7900,1827.0090,A
024099,2023-12-31,2023,INDL,C,D,STD,LCUT,LIFETIME BRANDS INC,USD,667.1420,-8.4120,686.6830,A
024135,2023-12-31,2023,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,1439.5630,81.0430,881.6820,A
024157,2023-12-31,2023,INDL,C,D,STD,FCFS,FIRSTCASH HOLDINGS INC,USD,4289.9150,219.3010,3151.7960,A
024171,2023-01-31,2022,INDL,C,D,STD,DBI,DESIGNER BRANDS INC,USD,2009.6180,162.6760,3315.4280,A
024176,2023-12-31,2023,INDL,C,D,STD,NTRA,NATERA INC,USD,1441.6990,-434.8010,1082.5710,A
024177,2023-12-31,2023,INDL,C,D,STD,MCRB,SERES THERAPEUTICS INC,USD,358.6000,-113.7240,126.3250,A
024197,2023-12-31,2023,INDL,C,D,STD,IDXX,IDEXX LABS INC,USD,3259.9250,845.0420,3660.9530,A
024216,2023-12-31,2023,INDL,C,D,STD,AES,AES CORP (THE),USD,44799.0000,249.0000,12668.0000,A
024225,2023-03-31,2022,INDL,C,D,STD,CRVL,CORVEL CORP,USD,393.9230,66.3650,718.5620,A
024232,2023-12-31,2023,INDL,C,D,STD,HWC,HANCOCK WHITNEY CORP,USD,35578.5730,392.6020,1892.8510,A
024249,2023-12-31,2023,INDL,C,D,STD,TDOC,TELADOC HEALTH INC,USD,4392.3690,-220.3680,2602.4150,A
024287,2023-12-31,2023,INDL,C,D,STD,AMBC,AMBAC FINANCIAL GROUP INC,USD,8428.0000,4.0000,282.0000,A
024291,2023-12-31,2023,INDL,C,D,STD,DIN,DINE BRANDS GLOBAL INC,USD,1740.2870,97.1760,831.0680,A
024293,2023-12-31,2023,INDL,C,D,STD,KALU,KAISER ALUMINUM CORP,USD,2267.4000,47.2000,3087.0000,A
024302,2023-12-31,2023,INDL,C,D,STD,ALKS,ALKERMES PLC,USD,2136.2230,355.7570,1466.3130,A
024316,2023-12-31,2023,INDL,C,D,STD,MNST,MONSTER BEVERAGE CORP,USD,9686.5220,1630.9880,7140.0270,A
024330,2023-12-31,2023,INDL,C,D,STD,SRG,SERITAGE GROWTH PROPERTIES,USD,973.8640,-154.9110,20.7790,A
024344,2023-12-31,2023,INDL,C,D,STD,VRTX,VERTEX PHARMACEUTICALS INC,USD,22730.2000,3619.6000,9869.2000,A
024350,2023-03-31,2022,INDL,C,D,STD,MNRO,MONRO INC,USD,1776.8770,39.0480,1325.3820,A
024351,2023-12-31,2023,INDL,C,D,STD,LIND,LINDBLAD EXPEDITIONS HLDGS,USD,831.2970,-45.6100,569.5430,A
024352,2023-11-30,2023,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,1602.7830,70.1970,694.4390,A
024379,2023-12-31,2023,INDL,C,D,STD,MTG,MGIC INVESTMENT CORP/WI,USD,6538.3800,712.9490,1155.1020,A
024405,2023-12-31,2023,INDL,C,D,STD,ZBRA,ZEBRA TECHNOLOGIES CP  -CL A,USD,7306.0000,296.0000,4584.0000,A
024430,2023-09-30,2023,INDL,C,D,STD,EZPW,EZCORP INC  -CL A,USD,1467.7110,38.4630,1049.0410,A
024440,2023-12-31,2023,INDL,C,D,STD,PRA,PROASSURANCE CORP,USD,5631.9250,-38.6040,1125.4210,A
024447,2023-12-31,2023,INDL,C,D,STD,BOKF,BOK FINANCIAL CORP,USD,49824.8300,530.7460,3101.4060,A
024463,2023-04-30,2022,INDL,C,D,STD,FIZZ,NATIONAL BEVERAGE CORP,USD,574.3420,142.1640,1172.9320,A
024468,2023-12-31,2023,INDL,C,D,STD,BIIB,BIOGEN INC,USD,26844.8000,1161.1000,9835.6000,A
024481,2023-06-30,2023,INDL,C,D,STD,MSGS,MADISON SQUARE GARDEN SPORTS,USD,1315.0170,47.7930,887.4470,A
024501,2023-12-31,2023,INDL,C,D,STD,RPD,RAPID7 INC,USD,1505.3480,-149.2600,777.7070,A
024508,2023-01-31,2022,INDL,C,D,STD,OOMA,OOMA INC,USD,131.0050,-3.6550,216.1650,A
024533,2023-12-31,2023,INDL,C,D,STD,NHI,NATIONAL HEALTH INVESTORS,USD,2488.4800,135.6540,320.3900,A
024552,2023-12-31,2023,INDL,C,D,STD,DSKE,DASEKE INC,USD,1136.1000,-17.7000,1569.4000,A
024601,2023-03-31,2022,INDL,C,D,STD,CSWI,CSW INDUSTRIALS INC,USD,1043.4530,96.4350,757.9040,A
024616,2023-12-31,2023,INDL,C,D,STD,PYPL,PAYPAL HOLDINGS INC,USD,82166.0000,4246.0000,29771.0000,A
024617,2023-12-31,2023,INDL,C,D,STD,ODFL,OLD DOMINION FREIGHT,USD,5512.3930,1239.5020,5866.1520,A
024620,2023-12-31,2023,INDL,C,D,STD,RHP,RYMAN HOSPITALITY PPTYS INC,USD,5188.5370,311.2170,2162.2510,A
024638,2023-12-31,2023,INDL,C,D,STD,TRU,TRANSUNION,USD,11105.1000,-206.2000,3831.2000,A
024678,2023-12-31,2023,INDL,C,D,STD,HMN,HORACE MANN EDUCATORS CORP,USD,14049.9000,45.0000,1432.8000,A
024708,2023-12-31,2023,INDL,C,D,STD,ATNI,ATN INTERNATIONAL INC,USD,1783.7140,-14.5380,762.2160,A
024720,2023-12-31,2023,INDL,C,D,STD,WNC,WABASH NATIONAL CORP,USD,1362.8140,231.2520,2536.5000,A
024724,2023-12-31,2023,INDL,C,D,STD,LILAK,LIBERTY LATIN AMERICA LTD,USD,13594.6000,-73.6000,4511.1000,A
024725,2023-03-31,2022,INDL,C,D,STD,WRLD,WORLD ACCEPTANCE CORP/DE,USD,1117.3180,21.2310,612.5530,A
024731,2023-12-31,2023,INDL,C,D,STD,KIM,KIMCO REALTY CORP,USD,18274.0220,654.2730,1866.3870,A
024755,2023-06-30,2023,INDL,C,D,STD,JBSS,SANFILIPPO JOHN B&SON,USD,425.2870,62.8570,999.6860,A
024782,2023-12-31,2023,INDL,C,D,STD,PRGO,PERRIGO CO PLC,USD,10809.1000,-12.7000,4664.8000,A
024783,2023-09-30,2023,INDL,C,D,STD,TTEK,TETRA TECH INC,USD,3820.4770,273.4200,4522.5500,A
024795,2023-03-31,2022,INDL,C,D,STD,AMSC,AMERICAN SUPERCONDUCTOR CP,USD,175.5610,-35.0410,105.9840,A
024800,2023-09-30,2023,INDL,C,D,STD,QCOM,QUALCOMM INC,USD,51040.0000,7232.0000,35820.0000,A
024844,2023-12-31,2023,INDL,C,D,STD,SPOK,SPOK HOLDINGS INC,USD,227.6840,15.6660,139.0250,A
024856,2023-12-31,2023,INDL,C,D,STD,GILD,GILEAD SCIENCES INC,USD,62125.0000,5665.0000,27116.0000,A
024861,2023-12-31,2023,INDL,C,D,STD,PLNT,PLANET FITNESS INC,USD,2969.6930,138.3130,1071.3260,A
024905,2023-12-31,2023,INDL,C,D,STD,RUN,SUNRUN INC,USD,20450.2370,-1604.4970,2259.8130,A
024911,2023-06-30,2023,INDL,C,D,STD,MCFT,MASTERCRAFT BOAT HLDNGS IN,USD,353.9760,68.9370,662.0460,A
024925,2023-12-31,2023,INDL,C,D,STD,ROP,ROPER TECHNOLOGIES INC,USD,28167.5000,1384.2000,6177.8000,A
024975,2023-10-31,2023,INDL,C,D,STD,SNPS,SYNOPSYS INC,USD,10333.1310,1229.8880,5842.6190,A
025027,2023-06-30,2023,INDL,C,D,STD,LFVN,LIFEVANTAGE CORP,USD,66.1230,2.5400,213.3980,A
025030,2023-12-31,2023,INDL,C,D,STD,VRTS,VIRTUS INVESTMENT PTNRS INC,USD,3678.6290,130.6210,845.2680,A
025110,2023-12-31,2023,INDL,C,D,STD,ICUI,ICU MEDICAL INC,USD,4378.4390,-29.6550,2259.1260,A
025119,2023-12-31,2023,INDL,C,D,STD,MHK,MOHAWK INDUSTRIES INC,USD,13559.8690,-439.5160,11135.1150,A
025124,2023-12-31,2023,INDL,C,D,STD,LIN,LINDE PLC,USD,80811.0000,6199.0000,32854.0000,A
025138,2023-12-31,2023,INDL,C,D,STD,ASUR,ASURE SOFTWARE INC,USD,443.8680,-9.2140,119.0820,A
025173,2023-12-31,2023,INDL,C,D,STD,RNST,RENASANT CORP,USD,17360.5350,144.6780,911.5270,A
025180,2023-12-31,2023,INDL,C,D,STD,AGCO,AGCO CORP,USD,11421.2000,1171.4000,14412.4000,A
025201,2023-12-31,2023,INDL,C,D,STD,CASS,CASS INFORMATION SYSTEMS INC,USD,2478.6220,30.0590,213.2270,A
